id,title,description,availability,condition,price,link,image_link,brand,google_product_category,item_group_id
1777520313425-F8C8DC,Áo chống nắng vải Cool-Air có mũ B19 - Hồng,"Hàng 2 lớp, 
Chất thun băng lạnh Hàn 𝐌𝐄̂̀𝐌 - 𝐌𝐈̣𝐍 - 𝐌𝐀́𝐓 𝐓𝐀𝐘.
Được dệt bằng công nghệ SUNSTOP dòng COOL-AIR có khả năng chống tia UV và ngăn chặn bức sáng nhiệt mạnh.
Co giãn 4 chiều, k bị xù lông, bai nhão hay phai màu ngay cả khi giặt máy chế độ nhanh hay giặt nước nóng",in stock,new,299000 VND,https://mumbigsize.com/?product=1777520313425,https://res.cloudinary.com/dwnqwmxob/image/upload/v1777520094/mum-bigsize/zxg6lucbswgn4xmacqjx.webp,Mũm Big Size,Apparel & Accessories > Clothing,1777520313425
1777520313425-1A1A1A,Áo chống nắng vải Cool-Air có mũ B19 - Đen,"Hàng 2 lớp, 
Chất thun băng lạnh Hàn 𝐌𝐄̂̀𝐌 - 𝐌𝐈̣𝐍 - 𝐌𝐀́𝐓 𝐓𝐀𝐘.
Được dệt bằng công nghệ SUNSTOP dòng COOL-AIR có khả năng chống tia UV và ngăn chặn bức sáng nhiệt mạnh.
Co giãn 4 chiều, k bị xù lông, bai nhão hay phai màu ngay cả khi giặt máy chế độ nhanh hay giặt nước nóng",in stock,new,299000 VND,https://mumbigsize.com/?product=1777520313425,https://res.cloudinary.com/dwnqwmxob/image/upload/v1777520115/mum-bigsize/c5s5npzigjtpmucymbfb.webp,Mũm Big Size,Apparel & Accessories > Clothing,1777520313425
1777520313425-A8DDD3,Áo chống nắng vải Cool-Air có mũ B19 - Xanh ngọc,"Hàng 2 lớp, 
Chất thun băng lạnh Hàn 𝐌𝐄̂̀𝐌 - 𝐌𝐈̣𝐍 - 𝐌𝐀́𝐓 𝐓𝐀𝐘.
Được dệt bằng công nghệ SUNSTOP dòng COOL-AIR có khả năng chống tia UV và ngăn chặn bức sáng nhiệt mạnh.
Co giãn 4 chiều, k bị xù lông, bai nhão hay phai màu ngay cả khi giặt máy chế độ nhanh hay giặt nước nóng",in stock,new,299000 VND,https://mumbigsize.com/?product=1777520313425,https://res.cloudinary.com/dwnqwmxob/image/upload/v1777520109/mum-bigsize/atfhrgywm8xls3aieb0l.webp,Mũm Big Size,Apparel & Accessories > Clothing,1777520313425
1777520313425-B8B8B8,Áo chống nắng vải Cool-Air có mũ B19 - Xám,"Hàng 2 lớp, 
Chất thun băng lạnh Hàn 𝐌𝐄̂̀𝐌 - 𝐌𝐈̣𝐍 - 𝐌𝐀́𝐓 𝐓𝐀𝐘.
Được dệt bằng công nghệ SUNSTOP dòng COOL-AIR có khả năng chống tia UV và ngăn chặn bức sáng nhiệt mạnh.
Co giãn 4 chiều, k bị xù lông, bai nhão hay phai màu ngay cả khi giặt máy chế độ nhanh hay giặt nước nóng",in stock,new,299000 VND,https://mumbigsize.com/?product=1777520313425,https://res.cloudinary.com/dwnqwmxob/image/upload/v1777538034/mum-bigsize/wi6ope2ejm0iqr8ifo7g.webp,Mũm Big Size,Apparel & Accessories > Clothing,1777520313425
1777520313425-2C3E50,Áo chống nắng vải Cool-Air có mũ B19 - Xanh than,"Hàng 2 lớp, 
Chất thun băng lạnh Hàn 𝐌𝐄̂̀𝐌 - 𝐌𝐈̣𝐍 - 𝐌𝐀́𝐓 𝐓𝐀𝐘.
Được dệt bằng công nghệ SUNSTOP dòng COOL-AIR có khả năng chống tia UV và ngăn chặn bức sáng nhiệt mạnh.
Co giãn 4 chiều, k bị xù lông, bai nhão hay phai màu ngay cả khi giặt máy chế độ nhanh hay giặt nước nóng",in stock,new,299000 VND,https://mumbigsize.com/?product=1777520313425,https://res.cloudinary.com/dwnqwmxob/image/upload/v1777772376/mum-bigsize/im8aacajmwwg3or9ubfc.webp,Mũm Big Size,Apparel & Accessories > Clothing,1777520313425
1777800986108-B8B8B8,Áo chống nắng Cool-Air không có mũ  A6 - Xám,Áo chống nắng Cool-Air không có mũ  A6,in stock,new,299000 VND,https://mumbigsize.com/?product=1777800986108,https://res.cloudinary.com/dwnqwmxob/image/upload/v1777800935/mum-bigsize/rl60pxwa3usz050ytzfl.webp,Mũm Big Size,Apparel & Accessories > Clothing,1777800986108
1777800986108-F8C8DC,Áo chống nắng Cool-Air không có mũ  A6 - Hồng,Áo chống nắng Cool-Air không có mũ  A6,in stock,new,299000 VND,https://mumbigsize.com/?product=1777800986108,https://res.cloudinary.com/dwnqwmxob/image/upload/v1777800940/mum-bigsize/hf5cplb38nnas74rodrt.webp,Mũm Big Size,Apparel & Accessories > Clothing,1777800986108
1777800986108-1A1A1A,Áo chống nắng Cool-Air không có mũ  A6 - Đen,Áo chống nắng Cool-Air không có mũ  A6,in stock,new,299000 VND,https://mumbigsize.com/?product=1777800986108,https://res.cloudinary.com/dwnqwmxob/image/upload/v1777800944/mum-bigsize/is9t7ydgpzzuw3yvagao.webp,Mũm Big Size,Apparel & Accessories > Clothing,1777800986108
1778304106828-B5E7CC,Áo chống nắng B20 Cool-Air không có mũ  - Xanh mint - Xanh mint,Áo chống nắng B20 Cool-Air không có mũ  - Xanh mint,in stock,new,299000 VND,https://mumbigsize.com/?product=1778304106828,https://res.cloudinary.com/dwnqwmxob/image/upload/v1778304036/mum-bigsize/yisgopyvy0vnxwaiafgq.webp,Mũm Big Size,Apparel & Accessories > Clothing,1778304106828
1778313430328-1A1A1A,Áo chống nắng B21 Cool-Air không có mũ - Đen - Đen,Áo chống nắng B21 Cool-Air không có mũ - Đen,in stock,new,299000 VND,https://mumbigsize.com/?product=1778313430328,https://res.cloudinary.com/dwnqwmxob/image/upload/v1778313387/mum-bigsize/hjzl4zikis6opou464yo.webp,Mũm Big Size,Apparel & Accessories > Clothing,1778313430328
